objectid,title,creator,location,date,time,trip,device,subject,format,type,filename,filesize,description,rights statement,translation
coll001,"Osakajo, Osaka, 2025",Henry,Ōsaka (inhabited place),2025-06-07,12:42 JST,Summer2025,Henry Canon PowerShot SX530 HS,"Osakajo (Osaka, Japan); Castles; Architecture",image/jpeg,Image;StillImage,H060725_OsaOsakajo.JPG,5.1 MB,"We went to Osaka Castle with Mom's older sister and her kids and walked around the grounds. Tickets to get inside were 1,200 Yen per person and the line was so long, so we didn't end up going in.  ",http://rightsstatements.org/vocab/InC/1.0/,
coll002,"Dragonfly, Okinawa, 2025",Henry,Okinawa (inhabited place),2025-06-12,12:13 JST,Summer2025,Henry Canon PowerShot SX530 HS,Dragonflies; Animals,image/jpeg,Image;StillImage,H061125_OkiDragonfly.JPG,5.5 MB,"A red dragonfly perched atop a rock at Fukushuen Garden, a Chinese garden. We went to the gardens with Mom's younger sister and her kids. Entry fee to the garden was 200 Yen per person (100 Yen for the kids). ",http://rightsstatements.org/vocab/InC/1.0/,
coll003,"Daibutsuden, Nara, 2023",Mei,Nara (inhabited place),2023-05-20,12:08 JST,Summer2023,Mei iPhone 12,"Daibutsuden (Todaiji, Nara-shi, Japan); Architecture; Buddhist Temples ",image/jpeg,Image;StillImage,M052023_NaraDaibutsuden.JPG,4.9 MB,"Todaiji Daibutsuden, or the Great Buddha Hall in Nara. Admission was 800 Yen per person to enter the Hall. ",http://rightsstatements.org/vocab/InC/1.0/,
coll004,"Doraemon Buns at Universal, Osaka, 2025",Mei,Ōsaka (inhabited place),2025-06-08,15:04 JST,Summer2025,Mei iPhone 15,Food; Amusement parks,image/jpeg,Image;StillImage,M060825_OsaDoraemonBuns.JPG,3.5 MB,Two Doraemon themed meat sauce and cheese buns in their original wrappings from Universal Studios Japan. We went with Mom's older sister and her kids. ,http://rightsstatements.org/vocab/InC/1.0/,
coll005,"Deer, Nara, 2025",Henry,Nara (inhabited place),2025-06-06,12:18 JST,Summer2025,Henry Canon PowerShot SX530 HS,Deer; Animals,image/jpeg,Image;StillImage,H060625_NaraDeer.JPG,7.4 MB,"One deer looking away, a deer and her baby deer in the background walking in Nara. Biscuits to feed the deer were available for about 200 Yen, but we did not get any. ",http://rightsstatements.org/vocab/InC/1.0/,
coll006,"Pancakes at Square Enix Cafe, Tokyo, 2023",Mei,Tokyo (inhabited place),2023-06-03,12:39 JST,Summer2023,Mei iPhone 12,"Pancakes, waffles, etc.; Food",image/jpeg,Image;StillImage,M060323_TokyoPancakes.JPG,3 MB,"We went to Square Enix Cafe in Shinjuku and got various pancake plates for breakfast. We spent about 1,200 to 1,500 Yen per plate. ",http://rightsstatements.org/vocab/InC/1.0/,
coll007,"Ocean View from Ryugujo Observatory, Miyako, 2025",Henry,Miyakojima (inhabited place),2025-06-17,12:48 JST,Summer2025,Henry Canon PowerShot SX530 HS,Ocean; Nature,image/jpeg,Image;StillImage,H061725_MiyakoRyugujo.JPG,5.4 MB,Mom's older sister took us to Ryugujo Observatory. There was no entry fee. ,http://rightsstatements.org/vocab/InC/1.0/,
coll008,"Pastries, Tokyo, 2025",Mei,Tokyo (inhabited place),2025-06-22,14:20 JST,Summer2025,Mei iPhone 15,Pastry; Food,image/jpeg,Image;StillImage,M062225_TokyoPastries.JPG,3.7 MB,"While waiting for our TeamLabs Borderless entry time, Henry and I got pastries at a patisserie in the Azubudai Hills tower. ",http://rightsstatements.org/vocab/InC/1.0/,
coll009,"Pooh's Hunny Hunt at DisneyLand, Tokyo, 2025",Mei,Tokyo (inhabited place),2025-06-20,13:22 JST,Summer2025,Mei iPhone 15,"Amusement rides; Amusement parks; Tokyo Disneyland (Urayasu-shi, Japan)",image/jpeg,Image;StillImage,M062025_TokyoPoohRide.JPG,6.8 MB,Part of the line to the Pooh's Hunny Hunt ride at Tokyo DisneyLand. Went with my brother and Henry. ,http://rightsstatements.org/vocab/InC/1.0/,
coll010,"City Line from Kiyomizu-dera, Kyoto, 2025",Mei,Kyoto (inhabited place),2025-06-09,16:11 JST,Summer2025,Mei iPhone 15,Cityscape photography; Nature,image/jpeg,Image;StillImage,M060925_KyoKiyomizudera.JPG,5.3 MB,"Cityline view from the Kiyomizu-dera temple in Kyoto. There was a 500 Yen entrance fee, as well as an additional 100 Yen to do the ""Womb Tour"". ",http://rightsstatements.org/vocab/InC/1.0/,
coll011,"Toriike Pond, Miyako, 2023",Mei,Miyakojima (inhabited place),2023-06-17,13:34 JST,Summer2023,Mei iPhone 12,Ponds; Nature,image/jpeg,Image;StillImage,M061723_MiyakoToriike.JPG,3.9 MB,One of the two Toriike Ponds formed by limestone erosion. No entry fee. Mom's older sister drove us. ,http://rightsstatements.org/vocab/InC/1.0/,
coll012,"Dango, Tokyo, 2023",Mei,Tokyo (inhabited place),2023-06-06,14:48 JST,Summer2023,Mei iPhone 12,Mochi; Food; Street food,image/jpeg,Image;StillImage,M060623_TokyoDango.JPG,3 MB,Various flavors of dango purchased at a street food vendor at the Nakamise Shopping Street by Sensoji Temple. We went with Mom's brother and his wife. ,http://rightsstatements.org/vocab/InC/1.0/,
coll013,"Flower Exhibit at teamLabs Planets, Tokyo, 2023",Mei,Tokyo (inhabited place),2023-06-06,11:41 JST,Summer2023,Mei iPhone 12,Art museums; Museum exhibits; Flowers,image/jpeg,Image;StillImage,M060623_TokyoTeamLabPlanetFlowers.JPG,6.4 MB,"The final flower exhibit at the teamLabs Planets museum. Tickets were 3,800 Yen per person. This is from the first time I went with the study abroad group, but I went again later with Mom, my brother, Mom's brother and his wife.",http://rightsstatements.org/vocab/InC/1.0/,
coll014,"Phoenix Hall, Kyoto, 2023",Mei,Kyoto (inhabited place),2023-05-22,10:31 JST,Summer2023,Mei iPhone 12,Architecture; Buddhist Temples,image/jpeg,Image;StillImage,M052223_KyoPhoenixHall.JPG,5.1 MB,"Phoenix Hall at Byodo-In in Uji, Kyoto. Admission to the interior of the hall is 300 Yen per person. ",http://rightsstatements.org/vocab/InC/1.0/,
coll015,"Kinkaku-ji Temple, Kyoto, 2023",Mei,Kyoto (inhabited place),2023-05-17,12:18 JST,Summer2023,Mei iPhone 12,Architecture; Buddhist Temples,image/jpeg,Image;StillImage,M051723_KyoKinkakuji.JPG,3.6 MB,"The Kinkaku-ji Temple, or the Golden Pavilion, in Kyoto, surrounded by a pond. Entrance fee was 500 Yen per person. It is considered a World Heritage Site. ",http://rightsstatements.org/vocab/InC/1.0/,